date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,1.7,-2.3,5.5,2.8,0,176,15.8,41.8,1034.6,318
2015-01-02,5.6,1.7,8.8,1.1,0,227,20.9,44.6,1028.1,132
2015-01-03,2.7,0.4,4.4,4.2,0,210,13.3,40,1025.2,0
2015-01-04,2.7,-1.5,6.4,0,0,266,11.5,26.3,1033.3,378
2015-01-05,2.7,-0.8,4.7,0,0,204,11.9,25.9,1033.4,228
2015-01-06,2.7,0.3,5,1.6,0,166,14.8,32.8,1024.5,114
2015-01-07,4,2,6.9,3.7,0,222,16.2,38.9,1028.1,348
2015-01-08,5.7,2.6,9.1,20.9,0,193,22,48.6,1023.2,0
2015-01-09,8.9,5.1,14.2,6.7,0,228,29.5,80.6,1019.7,0
2015-01-10,10.9,3.7,14.4,3.1,0,254,34.2,79.2,1013,0
2015-01-11,4.8,3,6.7,0.3,0,248,26.3,58.3,1018.9,24
2015-01-12,7.9,6.3,10,0.1,0,219,32.4,64.4,1017.1,0
2015-01-13,9.6,6.5,12.1,5.1,0,213,29.5,65.2,1007.9,0
2015-01-14,4.4,2.4,8,2.5,0,216,24.8,66.2,1010.3,6
2015-01-15,8.1,3.6,10.8,3.3,0,183,30.2,68.4,1001.8,0
2015-01-16,5.9,2.2,8.5,0,0,202,15.5,38.2,1006.7,66
2015-01-17,2.2,-1.3,5.4,0,0,230,11.5,25.9,1015.3,228
2015-01-18,2.6,0,5.1,0,0,164,19.1,36.7,1014.5,6
2015-01-19,0.3,-1.7,2.1,0,0,160,8.6,28.4,1013,18
2015-01-20,1,-0.4,2.3,0,0,2,4,13.7,1013.5,0
2015-01-21,0.7,-3.8,3.7,0,0,96,9.4,25.6,1013.5,162
2015-01-22,0.6,-0.6,1.2,0,0,44,13,27.4,1018.4,0
2015-01-23,-0.3,-1.7,0.8,0,0,18,9.7,26.3,1026.2,0
2015-01-24,0.5,-2.9,3,6.2,0,217,12.6,35.6,1022.6,54
2015-01-25,0.1,-4.6,2.4,4,50,204,8.6,20.5,1029.8,0
2015-01-26,3.9,1.9,6.7,5.7,10,199,15.1,32.4,1021.9,0
2015-01-27,3.7,1.1,5.8,0.9,0,278,12.6,32.8,1023.1,18
2015-01-28,4.5,1.8,7,3,0,206,24.1,64.8,1008.2,0
2015-01-29,3,0.9,5.4,2.8,0,217,24.1,49,986.8,66
2015-01-30,1.4,0.2,3,2.3,0,240,16.2,39.6,977.4,12
2015-01-31,1.6,-1.8,5.4,0.1,0,227,13.7,28.8,982.9,132
2015-02-01,1.7,-0.7,3.5,5.1,0,216,9.7,25.2,991.4,0
2015-02-02,1.2,0.1,2.3,2.3,30,264,14,31,1001.1,0
2015-02-03,0.9,-1.3,3.3,0.8,0,274,7.9,30.6,1005.5,0
2015-02-04,-0.9,-5.1,3.1,0,10,346,5.8,19.4,1015.4,54
2015-02-05,-1.9,-6.1,0.7,0,0,26,11.9,36.4,1023.7,198
2015-02-06,-0.6,-3,2.5,0,0,46,24.1,55.4,1028.6,504
2015-02-07,0.7,-4.5,5.3,0.3,0,352,10.8,38.5,1031.9,312
2015-02-08,3.7,2.2,5,0.1,0,326,17.3,42.5,1030.8,120
2015-02-09,4.7,2.9,6.2,1,0,281,13.7,28.8,1030.6,0
2015-02-10,5.3,4.6,6.4,0,0,337,7.6,18.7,1032,6
2015-02-11,3.9,0.9,6.1,0,0,123,11.5,27.4,1027,210
2015-02-12,3,1,6.8,0,0,151,16.9,34.2,1022.6,390
2015-02-13,4.1,0.3,9.5,0,0,150,23.8,48.2,1015.8,516
2015-02-14,6.1,-1.3,12.1,0,0,137,17.6,39.6,1009.8,366
2015-02-15,2.6,-3.5,9.1,0,0,39,7.2,23,1014.2,540
2015-02-16,2.7,0.5,6.5,0,0,155,15.5,35.6,1020.1,534
2015-02-17,2.7,-0.1,4.5,0.3,0,209,7.6,19.8,1033.2,0
2015-02-18,3.4,1.3,6.3,0,0,213,9.4,24.5,1040.3,0
2015-02-19,2.3,-0.2,5.9,0,0,168,20.5,40.3,1029.3,234
2015-02-20,5.5,1.9,7.7,9.4,0,175,20.5,43.2,1010.9,0
2015-02-21,4.1,1.6,6.8,1,0,226,15.5,47.5,999.9,78
2015-02-22,3,0.7,6.6,7.2,0,215,15.1,52.6,1008.9,180
2015-02-23,3.5,0.7,8.8,6.7,0,172,24.5,69.5,997.3,48
2015-02-24,4.3,2,7,3.6,0,211,21.2,52.2,1006.3,42
2015-02-25,4.4,1.1,8.5,0.2,0,191,14.8,33.1,1018,228
2015-02-26,6.2,1.8,10.1,12.9,0,162,19.4,47.2,1016.6,258
2015-02-27,5.2,-0.8,7.8,0.6,0,319,16.2,43.2,1015.7,114
2015-02-28,3.8,-3,8.9,2.7,0,177,19.4,50,1017.9,510
2015-03-01,7.9,4.4,11.7,0.8,0,201,27,60.5,1003.4,222
2015-03-02,5.6,2.5,9.7,3.6,0,249,24.1,72.4,1006.7,354
2015-03-03,4.5,2,9.1,3.1,0,226,23.4,69.5,1017.8,18
2015-03-04,3.9,0.4,7.2,1.9,0,252,17.6,42.5,1025.9,216
2015-03-05,4.9,0.2,9.1,0,0,282,9.4,24.1,1037.7,48
2015-03-06,5.3,0.3,8.9,0,0,204,10.1,23,1036.7,0
